Índice del Registro,Balance,Gráfico Interactivo,Vecino Más Cercano,timestamp
0,1,,"{""headers"": [""1"", ""2"", ""3""], ""data"": [["""", """", """"]], ""metadata"": null}",2024-12-08 14:29:44.133066
0,1,,"{""headers"": [""1"", ""2"", ""3""], ""data"": [["""", """", """"]], ""metadata"": null}",2024-12-08 14:32:01.354062
31,1,,"{""headers"": [""1"", ""2"", ""3""], ""data"": [["""", """", """"]], ""metadata"": null}",2024-12-09 11:40:03.331234
