Palas,Precio,Marca,Color,Balance,Nucleo,Cara,Dureza,Nivel de Juego,Forma,Superficie,Tipo de Juego,Jugador,score_lesion,score_nivel
DUNLOP INFERNO CARBON ELITE,79.95,dunlop,"negro, rojo",0,2,0,0,2,0,1,0,mixta,0.23076923076923078,0.24131627056672764
AKKERON NEXUS 2022,109.95,No data,"gris, verde",1,4,0,0,1,1,2,0,mixta,0.44230769230769235,0.38208409506398544
DROP SHOT PREMIUM 2.0 DP264018,125.95,drop shot,"negro, verde",3,2,0,2,2,2,0,2,hombre,0.6730769230769231,0.6416819012797076
DUNLOP BLITZ EVOLUTION RED,39.95,dunlop,"negro, rojo",0,4,1,0,1,1,2,0,mixta,0.4307692307692308,0.3912248628884827
VIBORA BLACK MAMBA ANIVERSARIO,169.95,vibor-a,"negro, amarillo",2,4,0,0,2,2,1,0,mixta,0.5384615384615385,0.5210237659963437
SIDE SPIN SS2 FIBER GLASS,53.95,No data,"negro, azul",1,4,1,0,1,1,1,0,mixta,0.45,0.3747714808043876
BULLPADEL HACK 03 SPO,193.95,bullpadel,"negro, gold",3,2,0,0,3,3,2,0,hombre,0.5961538461538461,0.6599634369287021
STARVIE TRITON SPEED 2.0 2023,284.95,No data,"negro, amarillo",2,4,0,1,2,2,2,2,hombre,0.75,0.7184643510054844
AKKERON NEXUS CARBON LEGACY R 20,94.95,No data,"negro, verde",0,4,0,0,2,1,1,0,mixta,0.38461538461538464,0.38391224862888484
PICKLEBALL ADIDAS PB ADIPOWER CTRL 3.2 ROJO NEGRO PB1CA0U17,229.95,adidas,"negro, rojo",2,3,0,3,2,1,0,3,mixta,0.75,0.6745886654478976
RS PRIME TEAM VSQZ LIMITED EDITION 95017,179.95,No data,No data,2,4,0,2,2,2,1,2,hombre,0.7692307692307693,0.7184643510054844
VARLION BOURNE HEXAGON 8.8 2023,134.95,bullpadel,No data,2,2,0,3,2,3,1,2,hombre,0.75,0.7294332723948812
BULLPADEL VERTEX 02 X HYBRID,77.95,varlion,"negro, naranja",2,1,0,0,2,3,1,2,hombre,0.5192307692307693,0.5539305301645338
STARVIE TRITON PRO 2024,215.95,No data,"negro, plateado",3,2,0,2,2,2,2,3,hombre,0.8076923076923077,0.7842778793418647
MYSTICA LEGACY CARBON HYBRID BLUE 2024,83.95,No data,azul,2,2,0,3,2,0,0,2,mixta,0.5961538461538461,0.5210237659963437
NOX MP10 GEMELAS ATOMIKAS BY MAPI SÁNCHEZ ALAYETO 2022,104.95,nox,"negro, azul",1,2,1,0,3,1,2,0,mujer,0.45,0.4771480804387569
WILSON ULTRA TEAM V2 PADEL 2,52.95,wilson,"negro, azul",3,2,1,0,2,3,1,0,mixta,0.5653846153846154,0.5795246800731262
VARLION LW DIFUSOR BLACK,99.95,wilson,"negro, azul",2,4,1,0,2,1,2,2,mixta,0.7000000000000001,0.6563071297989033
WILSON PRO STAFF V2 PADEL ALT 2,125.95,varlion,"negro, plateado",0,4,0,0,2,2,1,0,mixta,0.42307692307692313,0.4387568555758684
DUNLOP TITAN LT HL ORANGE,225.95,dunlop,"negro, naranja",3,2,1,0,2,1,1,0,mixta,0.48846153846153845,0.46983546617915906
